Authors;Author(s) ID;Title;Year;Source title;Cited by;DOI;Link;Abstract;Author Keywords;Index Keywords;Publisher;Language of Original Document;Abbreviated Source Title;Document Type
Ross J.C.;"15056753700;";Biometrics: Intersecting borders and bodies in liberal bionetwork states;2007;Journal of Borderlands Studies;7;10.1080/08865655.2007.9695678;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865976116&doi=10.1080%2f08865655.2007.9695678&partnerID=40&md5=12630b68c962dcf87e2a99d6edc2f053;This paper addresses the following two part question: How are liberal bionetwork states using technology to manage human flows and what are the broader political implications of these developments? Specifically, I examine the expanding scope and implications of biometric surveillance technologies in liberal states’ border securitization practices. Since 9/11, biometric identification systems have been fast‐tracked as a “silver‐bullet solution” to address perceived threats to border security in the United States and the European Union. I argue that the deployment of new information and biometric technologies in the United States and the European Union is both individuating and expanding state space into new geographies (i.e., state control is extensifying inside bodies and reaching outside sovereign territorial boundaries). This is due, in part, to the deployment and growing interoperability of new border securitization technologies, like US‐VISIT in the United States and the second generation of the Schengen Information System (SIS II) and Visa Information System (VIS) in the European Union. Biometric systems augment efforts to create a high‐concept, multi‐layered, interoperable system of “virtual borders” designed to deter or intercept determined terrorists, criminals, and unauthorized migrants. As the deployment of biometric technologies creep from the margins to the mainstream, privacy and surveillance concerns will become evermore salient. Equally important are the implications of this incremental “disembodied integration” of people with states on how liberal bionetwork societies make decisions about belonging and exclusion. As virtual borders extend into our bodies and around the globe, securitization measures that intersect bodies and states require a virtual theory to account for these new geographies of state space and the qualitative affects on individuals. © 2007, Taylor & Francis Group, LLC.;;;;English;J. Borderl. Stud.;Article
Broeders D.;"17433346100;";The new digital borders of Europe: EU databases and the surveillance of irregular migrants;2007;International Sociology;178;10.1177/0268580907070126;https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846263699&doi=10.1177%2f0268580907070126&partnerID=40&md5=38cc68b3a7a702fb8199abb03a5dc00a;This article analyses the development of three EU migration databases and their significance for the internal control of irregular migrants. Because borders and immigration policy alone cannot stop irregular migration, many governments turn to internal migration control on settled irregular migrants. Surveillance of this group is aimed at their exclusion from key societal institutions, discouraging their stay and ultimately, the deportation of apprehended irregular migrants. These are policies in which identification of irregular migrants is crucial. In this age, registration and identification mean computerized and networked databases. The member states of the EU are currently developing a network of databases in the field of (irregular) immigration. The Schengen Information System (II), the Eurodac database and the Visa Information System are vast databases, often including biometric data, aimed at controlling migration flows and identifying and sorting legal and irregular migrants. These systems are able to 're-identify' parts of the population of irregular migrants on the basis of digital traces of their migration history. It is argued that the digital infrastructure that is now growing past its infancy is developing into a formidable tool for the surveillance of irregular migrants in Europe. ©International Sociological Association.;"Databases; European Union; Irregular migration; Social sorting; Surveillance";;;English;Int. Sociol.;Article
Barrow D.;"15071349100;";Informed response;2006;Fire Prevention and Fire Engineers Journals;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860032375&partnerID=40&md5=86eb4319af85a631f86bc3b568d0a227;The progress of the OASIS project, a pan-European initiative to ensure the better co-ordination of information systems used by civil protection organizations during an emergency response is discussed. It will ensure the cross-border management of crises, without prejudicing national legal requirements or endangering the security of partner nations. OASIS addresses the strategic objective of improving risk management, defining and developing an information technology framework based on an open and flexible architecture. The OASIS consortium has been analyzing the user requirements of European emergency services and national governments to extract generic European system requirements. The project defines the requirements of the system backbone supported by a reliable and secure communication network, the deployable communication network, the command and control functions and decision support software.;;"Control functions; Decision support software; Emergency response; Governments; Fire protection; Information retrieval systems; Regulatory compliance; Risk management; Societies and institutions; Strategic planning; Telecommunication networks; Project management";;English;Fire Prev. Fire Eng. J.;Article
Bright M.;"8535615400;";Unisys selects Microsoft for European border security;2006;Jane's Defence Weekly;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858942455&partnerID=40&md5=ac7b71be5a1d1a0a5186a8dce8f5b7c3;Unisys Corp, US, has selected Microsoft Europe, Middle East and Africa, to provide technology solutions for the second generation of the pan-European Schengen Information System (SIS II) and Visa Information System (VIS), with the aim to reduce cross-border crime, identity fraud and visa shopping. The existing SIS and VIS facilitate the European Commission's (EC) existing common law enforcement and visa management system, which supports the 1985 Schengen Agreement. The 10 newest EU members including Switzerland have signed the agreement but will become full members once they have implemented the treaty. Microsoft will enable the EC to expand the amount and types of data that can be shared from the 15 current participants to a total of 27. SIS and VIS will also include a biometric matching system including 10 fingerprints from each person, a digital headshot and alphanumeric data.;;"Alphanumeric data; Biometric matching system; Digital headshot; Visa management system; Law enforcement; Pattern recognition; Pattern recognition systems; Security systems; Security of data";;English;Jane's Def. Weekly;Article
Philippe H., Norell C.;"57212797558;8593261700;";Multi biometric visas to undergo European tests;2005;Card Technology Today;;10.1016/S0965-2590(05)70290-5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-20544442476&doi=10.1016%2fS0965-2590%2805%2970290-5&partnerID=40&md5=ac182dfa4964f6c4ae0bee750e166801;Biodev is a major European technology trial designed to scrutinize the issuance and subsequent verification of chip-based multi-biometric visas. Expected to last for a year, the trial is potentially a precursor to the biometric visa information system (VIS). In addition, the pilot will help determine the impact of new control and work procedures that would be experienced by travellers, consular staff and border police when such a visa system is put into place.;;"Database systems; Face recognition; Interoperability; Microprocessor chips; Technology; Biodev visa; Biometric visa information systems; Electronic passport; Gemplus International (CO); Multi-biometric visas; Sagem (CO); Smart cards";;English;Card Technol. Today;Note
Saxer A.R.;"6701879081;";Schengen-Assoziierimg der Schweiz;2005;Kriminalistik;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-13144273800&partnerID=40&md5=6c4240221518bbc4d1753206f52b4ae6;Switzerland is de facto already part of the Schengen area. Border controls have loosened at the Swiss borders but Switzerland lacks the complementary measures foreseen by Schengen. The bilateral police agreements Switzerland concluded with the neighbouring states are a necessary complement to the Schengen cooperation but not a substitute. Schengen offers the Swiss authorities cooperation with police and justice authorities of soon 27 states, access to the Schengen Information system and participation at the visa cooperation.;;;;German;Kriminalistik;Review
[No author name available];[No author id available];EU passport chips are set for a collision course;2005;Biometric Technology Today;;10.1016/S0969-4765(05)70292-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-18544370077&doi=10.1016%2fS0969-4765%2805%2970292-7&partnerID=40&md5=c78d2d9402b9fd2700f2f52f05e4aaaf;The dilemma faced by the European Union (EU) over the introduction of biometric-based visas, which is followed by the presence of multiple contactless chips within a single travel document making it hard to read the correct chip, is discussed. The EU has started to sign off on plans which would have seen fingerprint and facial biometric identifiers loaded onto contactless chips which would have been embedded within the visa. The Luxemberg Council presidency has accepted two possible ways forward that were deemed feasible by the technical group. The new visa system does not currently apply to the UK and Ireland, which opted out of cooperation on visa rules.;;"Data processing; Database systems; Face recognition; Information science; Information technology; Online searching; Smart cards; Biometric technology; European Union (EU); Fingerprints; Visa information systems (VIS); Microprocessor chips";;English;Biom. Technol. Today;Review
Carrera S.;"26038967900;";What Does Free Movement Mean in Theory and Practice in an Enlarged EU?;2005;European Law Journal;58;10.1111/j.1468-0386.2005.00283.x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248036674&doi=10.1111%2fj.1468-0386.2005.00283.x&partnerID=40&md5=545a6fcd1b02d15dbadc4b7c5f8c0931;Abstract The purpose of this article is to review the main challenges to the principle of free movement of persons in theory and practice in an enlarged European Union. The right to move freely represents one of the fundamental freedoms of the internal market as well as an essential political element of the package of rights linked to the very status of EU citizenship. The scope ratione personae and the current state of the principle of free movement of persons is assessed by looking at the most recent case law of the Court of Justice and the recently adopted Directive on the rights of citizens of the Union and their family members to move and reside freely within the territory of the Member States. But what are the hidden and visible obstacles to free movement of persons in Europe? How can these barriers be overcome to make free movement and residence rights more inclusive? This article addresses these issues along with the following questions: Who are the beneficiaries of the free movement of persons in an enlarged Europe? What is the impact of the recent legal developments in the freedom of movement dimension, such as the European Court of Justice case law and the new Directive? And to what extent are pro-security policies such as the Schengen Information System II and an enhanced interoperability between European databases fully compatible with the freedom of movement paradigm?. © 2017 Wiley. All rights reserved.;;;;English;Euro. Law J.;Article
Samatas M.;"7801555652;";Greece in 'Schengenland': Blessing or anathema for citizens' and foreigners' rights?;2003;Journal of Ethnic and Migration Studies;14;10.1080/1369183032000076768;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037696273&doi=10.1080%2f1369183032000076768&partnerID=40&md5=ed73a2b0f1f691657d84eaac57c4c313;This paper is a case-study of the actual impact of Schengen implementation by the Greek state security apparatus, and its implication for basic and new rights of Greek citizens and foreigners, vis-à-vis European integration. It is based upon an analysis of special data records, including surveillance of national and alien suspects, asylum and deportations, 'border repulsion of undesirable persons', etc. provided to the press by the Greek Schengen Bureau. Some comparisons are made with other Schengen counterparts. The analysis illustrates those particular geopolitical and sociopolitical control imperatives that actually affect the efficiency of the Schengen Agreement in Greece. Based also on other documented evidence, I conclude that Schengen's impact is a mixed blessing for Greek and European citizens as regards both their free movement, and also potential violations of their privacy and civil liberties. It is clearly an 'immigration anathema' to build a 'Fortress Europe', especially as regards Third World immigrants' and refugees' rights and life chances in the EU.;"Asylum-seekers; Fortress Europe; Greece; Immigrants; Schengen information system";"asylum seeker; human rights; immigrant population; immigration policy; Greece";;English;J. Ethn. Migr. Stud.;Article
Blobel B., Pharow P.;"55551292000;6603378723;";Secure communications and co-operations in open networks;1999;Recent Advances in Signal Processing and Communications;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-5044231646&partnerID=40&md5=2b94852f24c152c5549a233bd6ffd7fa;Nowadays trends in information systems are characterised by aggregation of the systems to distributed interoperable component systems. The communication and co-operation between these system components is increasingly.crossing organisational, regional and even national borders using open networks including the Internet. Such interoperability must be provided in a secure way. Therefore, the different programmes launched by the European Commission dealing with informatics, telematics and the challenges of the Information Society also concern security-related projects. Value-adding the results of several projects within both the TAP and the ISIS programme of the EC as ISHTAR or TRUSTHEALTH on the one hand and MEDSEC or EUROMED-ETS on the other, a regional pilot in oncology for a secure health network has been developed and implemented. Specifying domains and their security policy, security requirements and solutions depending on the systems architecture and behaviour have been defined. Additionally to firewalls at the domain borders, security services based on cryptographic algorithms must be provided which concern application security and/or communication security according to the general security model specified, also taking into account that most of the attacks to domains are caused by insiders. Domains, policies and policy bridging are discussed under the view of security concepts and the concepts-services-mechanisms-algorithms-data relationships developed. Looking for the specific requirements of secure communications in open networks, communication security services and mechanisms will be presented. In that context, an open communication security solution regarding secure messaging (secure EDI) as well as secure channels (SSL and TLS in WWW environments) has been developed and implemented and will be demonstrated in detail. The corresponding security infrastructure needed as user authentication tokens (Health Professional Cards = HPC) and Trusted Third Party (TTP) services are content of another paper in this volume.;"Accountability; Application; Authentication; Communication; Confidentiality; Integrity; Internet; Networks; Security";"Cryptography; Information analysis; Internet; Network protocols; Project management; Standardization; World Wide Web; Application authentication; Integrity; Internet communication; Security networks; Telecommunication networks";World Scientific and Engineering Academy and Society;English;Recent Adv. Signal Process. Commun.;Article
Chocquet C.;"8077234800;";The Sehengen information system : A twofold challenge [Le système d'information schengen: Un double défi (I)];1998;Revue du Marche Commun et de l'Union Europeenne;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039117342&partnerID=40&md5=86b5b77970f8722b3b67ec86d9a03322;Policing and legal co-operation In the Schengen area is based around the Schengen Information System, which comprises an operational police database, used and updated by the Member, States covered by the agreement This is a tool for inter-state cooperation like no other in existence, whose design and implementation required several years. Since it came into service in March 1995, the system has proved to be highly reliable technically, and on a daily basis it makes it possible to carry out arrests pending extradition, or to discover stolen vehicles throughout the Schengen area. The operation of such a system can only be conceivable within a framework for the respect of individual freedom. It is for this reason that the agreement lays down strict criteria regarding personal data protection, as well as an inspection procedure operated at two different levels by the national inspection authorities (the CNIL for France) and a common independent inspection authority, set up by the Schengen Member States.;;;;French;Rev. Marche Commun Union Eur.;Article
Mahmood S.;"36507378800;";The schengen information system: An inequitable data protection regime;1995;International Journal of Refugee Law;4;10.1093/ijrl/7.2.179;https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957174942&doi=10.1093%2fijrl%2f7.2.179&partnerID=40&md5=1f16efdfa32de391faac3c9956de09c7;[No abstract available];;;;English;Int. J. Refugee Law;Article
Tupman W.A.;"56969733100;";Cross-National Criminal Databases: The ongoing search for safeguards;1995;Information & Communications Technology Law;5;10.1080/13600834.1995.9965725;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347829791&doi=10.1080%2f13600834.1995.9965725&partnerID=40&md5=f9b5cbd8adb0c7284c522422942d1e0a;With the abolition of most internal border controls within the EC cross-border police information networks are increasingly important in fighting cross-border crime. But the existence of databases ranging from the relatively unsophisticated Schengen Information System and the proposed European Information System to the UCLAF system to combat fraud raises many legal and criminological issues. There is a danger that the database and profiling approach exaggerates the scale of organised crime to excuse unwarranted interference with civil liberties, and it is not easy to keep large databases secure from hackers. There is no proper mechanism for complaining about abuses, and there may be inadequate protection for political dissidents. On the other hand pooling of information enables the authorities to allocate scarce resources to the most harmful crimes and can help to minimise unwarranted invasions of privacy. National SIRENE bureaux provide judicial and administrative checks by filtering individual requests for information from databases, and safeguards have been built into the procedures for accessing the IRENE-3 database. But there remain causes for concern. © 1995, Taylor & Francis Group, LLC. All rights reserved.;;;;English;Inf. Commun. Technol. Law;Article
